"Motion Profile Trajectory generated by MCSF"
maxV(rps),2855.98
maxA(rps/s),1903.99
dist(r),42839.7
ItP(ms),10
T1(ms),1499
T2(ms),749
T4(ms),14999
FL1,150
FL2,75
N,1499
Step,Time(s),Filter1 sum,Filter2 sum,Vel(RPS),Pos(R),Accel(RPS/S),Dur(ms)
377,3.76,1,75,2855.98,7553.69,0,10
378,3.77,1,75,2855.98,7582.25,0,10
379,3.78,1,75,2855.98,7610.81,0,10
380,3.79,1,75,2855.98,7639.37,0,10
381,3.8,1,75,2855.98,7667.93,0,10
382,3.81,1,75,2855.98,7696.49,0,10
383,3.82,1,75,2855.98,7725.04,0,10
384,3.83,1,75,2855.98,7753.6,0,10
385,3.84,1,75,2855.98,7782.16,0,10
386,3.85,1,75,2855.98,7810.72,0,10
387,3.86,1,75,2855.98,7839.28,0,10
388,3.87,1,75,2855.98,7867.84,0,10
389,3.88,1,75,2855.98,7896.4,0,10
390,3.89,1,75,2855.98,7924.96,0,10
391,3.9,1,75,2855.98,7953.52,0,10
392,3.91,1,75,2855.98,7982.08,0,10
393,3.92,1,75,2855.98,8010.64,0,10
394,3.93,1,75,2855.98,8039.2,0,10
395,3.94,1,75,2855.98,8067.76,0,10
396,3.95,1,75,2855.98,8096.32,0,10
397,3.96,1,75,2855.98,8124.88,0,10
398,3.97,1,75,2855.98,8153.44,0,10
399,3.98,1,75,2855.98,8182,0,10
400,3.99,1,75,2855.98,8210.56,0,10
401,4,1,75,2855.98,8239.12,0,10
402,4.01,1,75,2855.98,8267.68,0,10
403,4.02,1,75,2855.98,8296.24,0,10
404,4.03,1,75,2855.98,8324.8,0,10
405,4.04,1,75,2855.98,8353.36,0,10
406,4.05,1,75,2855.98,8381.92,0,10
407,4.06,1,75,2855.98,8410.48,0,10
408,4.07,1,75,2855.98,8439.04,0,10
409,4.08,1,75,2855.98,8467.6,0,10
410,4.09,1,75,2855.98,8496.16,0,10
411,4.1,1,75,2855.98,8524.72,0,10
412,4.11,1,75,2855.98,8553.28,0,10
