"Motion Profile Trajectory generated by MCSF"
maxV(rps),2244.02
maxA(rps/s),1496.01
dist(r),33660.3
ItP(ms),10
T1(ms),1500
T2(ms),750
T4(ms),15000
FL1,150
FL2,75
N,1500
Step,Time(s),Filter1 sum,Filter2 sum,Vel(RPS),Pos(R),Accel(RPS/S),Dur(ms)
395,3.94,1,75,2244.02,6339.07,0,10
396,3.95,1,75,2244.02,6361.51,0,10
397,3.96,1,75,2244.02,6383.95,0,10
398,3.97,1,75,2244.02,6406.39,0,10
399,3.98,1,75,2244.02,6428.83,0,10
400,3.99,1,75,2244.02,6451.27,0,10
401,4,1,75,2244.02,6473.71,0,10
402,4.01,1,75,2244.02,6496.15,0,10
403,4.02,1,75,2244.02,6518.59,0,10
404,4.03,1,75,2244.02,6541.03,0,10
405,4.04,1,75,2244.02,6563.47,0,10
406,4.05,1,75,2244.02,6585.91,0,10
407,4.06,1,75,2244.02,6608.35,0,10
408,4.07,1,75,2244.02,6630.79,0,10
409,4.08,1,75,2244.02,6653.23,0,10
410,4.09,1,75,2244.02,6675.67,0,10
411,4.1,1,75,2244.02,6698.11,0,10
412,4.11,1,75,2244.02,6720.55,0,10
413,4.12,1,75,2244.02,6742.99,0,10
414,4.13,1,75,2244.02,6765.43,0,10
415,4.14,1,75,2244.02,6787.87,0,10
416,4.15,1,75,2244.02,6810.31,0,10
417,4.16,1,75,2244.02,6832.75,0,10
418,4.17,1,75,2244.02,6855.19,0,10
419,4.18,1,75,2244.02,6877.63,0,10
420,4.19,1,75,2244.02,6900.07,0,10
421,4.2,1,75,2244.02,6922.51,0,10
422,4.21,1,75,2244.02,6944.95,0,10
423,4.22,1,75,2244.02,6967.39,0,10
424,4.23,1,75,2244.02,6989.83,0,10
425,4.24,1,75,2244.02,7012.27,0,10
426,4.25,1,75,2244.02,7034.71,0,10
427,4.26,1,75,2244.02,7057.15,0,10
428,4.27,1,75,2244.02,7079.59,0,10
429,4.28,1,75,2244.02,7102.03,0,10
430,4.29,1,75,2244.02,7124.47,0,10
431,4.3,1,75,2244.02,7146.91,0,10
432,4.31,1,75,2244.02,7169.35,0,10
433,4.32,1,75,2244.02,7191.8,0,10
434,4.33,1,75,2244.02,7214.24,0,10
435,4.34,1,75,2244.02,7236.68,0,10
436,4.35,1,75,2244.02,7259.12,0,10
437,4.36,1,75,2244.02,7281.56,0,10
438,4.37,1,75,2244.02,7304,0,10
439,4.38,1,75,2244.02,7326.44,0,10
440,4.39,1,75,2244.02,7348.88,0,10
441,4.4,1,75,2244.02,7371.32,0,10
442,4.41,1,75,2244.02,7393.76,0,10
443,4.42,1,75,2244.02,7416.2,0,10
444,4.43,1,75,2244.02,7438.64,0,10
445,4.44,1,75,2244.02,7461.08,0,10
446,4.45,1,75,2244.02,7483.52,0,10
447,4.46,1,75,2244.02,7505.96,0,10
448,4.47,1,75,2244.02,7528.4,0,10
449,4.48,1,75,2244.02,7550.84,0,10
450,4.49,1,75,2244.02,7573.28,0,10
